algo1,algo2,winner,steps,minimax_depth,mcts_time
mcts,mcts,1,8,5,5
mcts,mcts,1,10,5,5
mcts,mcts,2,18,5,5
mcts,mcts,1,7,5,5
mcts,mcts,2,12,5,5
mcts,mcts,2,8,5,5
mcts,mcts,1,15,5,5
mcts,mcts,2,14,5,5
mcts,mcts,1,13,5,5
mcts,mcts,1,10,5,5
minimax,minimax,1,13,5,5
minimax,minimax,1,13,5,5
minimax,minimax,1,13,5,5
minimax,minimax,1,13,5,5
minimax,minimax,1,13,5,5
minimax,minimax,1,13,5,5
minimax,minimax,1,13,5,5
minimax,minimax,1,13,5,5
minimax,minimax,1,13,5,5
minimax,minimax,1,13,5,5
