algo1,algo2,winner,steps,minimax_depth,mcts_time
heuristic,mcts,1,12,1,1
heuristic,mcts,1,13,1,1
heuristic,mcts,1,8,1,1
heuristic,mcts,1,4,1,1
heuristic,mcts,1,4,1,1
heuristic,mcts,2,12,1,1
heuristic,mcts,1,4,1,1
heuristic,mcts,1,4,1,1
heuristic,mcts,1,4,1,1
heuristic,mcts,1,4,1,1
heuristic,mcts,1,12,2,2
heuristic,mcts,1,4,2,2
heuristic,mcts,1,4,2,2
heuristic,mcts,1,11,2,2
heuristic,mcts,1,9,2,2
heuristic,mcts,1,4,2,2
heuristic,mcts,1,8,2,2
heuristic,mcts,1,9,2,2
heuristic,mcts,1,4,2,2
heuristic,mcts,1,9,2,2
heuristic,mcts,1,8,3,3
heuristic,mcts,1,4,3,3
heuristic,mcts,1,8,3,3
heuristic,mcts,1,12,3,3
heuristic,mcts,1,12,3,3
heuristic,mcts,1,12,3,3
heuristic,mcts,1,4,3,3
heuristic,mcts,1,9,3,3
heuristic,mcts,1,9,3,3
heuristic,mcts,1,8,3,3
heuristic,mcts,1,4,4,4
heuristic,mcts,1,4,4,4
heuristic,mcts,1,4,4,4
heuristic,mcts,1,8,4,4
heuristic,mcts,2,13,4,4
heuristic,mcts,1,12,4,4
heuristic,mcts,2,8,4,4
heuristic,mcts,1,9,4,4
heuristic,mcts,2,6,4,4
heuristic,mcts,1,8,4,4
heuristic,mcts,1,4,5,5
heuristic,mcts,1,4,5,5
heuristic,mcts,1,4,5,5
heuristic,mcts,1,8,5,5
heuristic,mcts,2,8,5,5
heuristic,mcts,1,8,5,5
heuristic,mcts,1,8,5,5
heuristic,mcts,1,4,5,5
heuristic,mcts,1,8,5,5
heuristic,mcts,1,4,5,5
mcts,heuristic,1,7,1,1
mcts,heuristic,2,4,1,1
mcts,heuristic,2,4,1,1
mcts,heuristic,2,4,1,1
mcts,heuristic,2,4,1,1
mcts,heuristic,2,4,1,1
mcts,heuristic,2,4,1,1
mcts,heuristic,2,4,1,1
mcts,heuristic,2,4,1,1
mcts,heuristic,2,4,1,1
mcts,heuristic,2,4,2,2
mcts,heuristic,2,8,2,2
mcts,heuristic,2,4,2,2
mcts,heuristic,2,4,2,2
